"","case","cc3","country","year","gold_standard","independence","banking_crisis","systemic_crisis","domestic_debt_in_default","currency_crises","inflation_crises","external_default_ex_1975","external_default_in_1975","crisis_tally","cown","country_name"
"155",1,"DZA","Algeria",1954,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"156",1,"DZA","Algeria",1955,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"157",1,"DZA","Algeria",1956,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"158",1,"DZA","Algeria",1957,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"159",1,"DZA","Algeria",1958,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"160",1,"DZA","Algeria",1959,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"161",1,"DZA","Algeria",1960,0,0,0,0,0,1,0,0,0,1,615,"Algeria"
"162",1,"DZA","Algeria",1961,0,0,0,0,0,0,0,0,0,0,615,"Algeria"
"163",1,"DZA","Algeria",1962,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"164",1,"DZA","Algeria",1963,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"165",1,"DZA","Algeria",1964,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"166",1,"DZA","Algeria",1965,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"167",1,"DZA","Algeria",1966,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"168",1,"DZA","Algeria",1967,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"169",1,"DZA","Algeria",1968,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"170",1,"DZA","Algeria",1969,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"171",1,"DZA","Algeria",1970,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"172",1,"DZA","Algeria",1971,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"173",1,"DZA","Algeria",1972,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"174",1,"DZA","Algeria",1973,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"175",1,"DZA","Algeria",1974,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"176",1,"DZA","Algeria",1975,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"177",1,"DZA","Algeria",1976,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"178",1,"DZA","Algeria",1977,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"179",1,"DZA","Algeria",1978,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"180",1,"DZA","Algeria",1979,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"181",1,"DZA","Algeria",1980,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"182",1,"DZA","Algeria",1981,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"183",1,"DZA","Algeria",1982,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"184",1,"DZA","Algeria",1983,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"185",1,"DZA","Algeria",1984,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"186",1,"DZA","Algeria",1985,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"187",1,"DZA","Algeria",1986,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"188",1,"DZA","Algeria",1987,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"189",1,"DZA","Algeria",1988,0,1,0,0,0,1,0,0,0,1,615,"Algeria"
"190",1,"DZA","Algeria",1989,0,1,0,0,0,1,0,0,0,1,615,"Algeria"
"191",1,"DZA","Algeria",1990,0,1,1,1,0,1,0,0,0,3,615,"Algeria"
"192",1,"DZA","Algeria",1991,0,1,1,1,0,1,1,1,1,5,615,"Algeria"
"193",1,"DZA","Algeria",1992,0,1,1,1,0,0,1,1,1,4,615,"Algeria"
"194",1,"DZA","Algeria",1993,0,1,0,0,0,0,1,1,1,2,615,"Algeria"
"195",1,"DZA","Algeria",1994,0,1,0,0,0,1,1,1,1,3,615,"Algeria"
"196",1,"DZA","Algeria",1995,0,1,0,0,0,1,1,1,1,3,615,"Algeria"
"197",1,"DZA","Algeria",1996,0,1,0,0,0,0,0,1,1,1,615,"Algeria"
"198",1,"DZA","Algeria",1997,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"199",1,"DZA","Algeria",1998,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"200",1,"DZA","Algeria",1999,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"201",1,"DZA","Algeria",2000,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"202",1,"DZA","Algeria",2001,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"203",1,"DZA","Algeria",2002,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"204",1,"DZA","Algeria",2003,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"205",1,"DZA","Algeria",2004,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"206",1,"DZA","Algeria",2005,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"207",1,"DZA","Algeria",2006,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"208",1,"DZA","Algeria",2007,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"209",1,"DZA","Algeria",2008,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"210",1,"DZA","Algeria",2009,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"211",1,"DZA","Algeria",2010,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"212",1,"DZA","Algeria",2011,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"213",1,"DZA","Algeria",2012,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"214",1,"DZA","Algeria",2013,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"215",1,"DZA","Algeria",2014,0,1,0,0,0,0,0,0,0,0,615,"Algeria"
"216",1,"DZA","Algeria",2015,0,1,NA,NA,0,0,0,0,0,NA,615,"Algeria"
"217",1,"DZA","Algeria",2016,0,1,NA,NA,NA,0,0,0,0,NA,615,"Algeria"
"218",2,"AGO","Angola",1800,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"219",2,"AGO","Angola",1801,0,0,0,0,0,0,0,0,0,0,540,"Angola"
